"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
568903462,1.32547169811321,19.7701917482889,1.96664719164156,13.8212715611384,10.2444381934243,0,1,26380,0,545,0,0.00479495330038584
633693039,1.33198380566802,20.9420950464436,2.17353816328427,7.74669901909036,9.37480928838085,0,1,28048,59,575,113,0.0189408541801589
841146994,1.33466135458167,19.5866074333628,2.27244959120188,6.90542585509846,10.8372278718787,0,1,24598,2344,489,97,0.00796509353535174
981393564,1.33636363636364,23.223847194328,4.34482598960103,14.9760152334411,10.7932642735513,0,1,29839,0,603,0,0.0048328514941193
196226088,1.33730158730159,19.928350837116,3.20934840634638,12.7958612184563,10.794365306208,0,1,27295,0,804,0,0.00197220596686799
180961339,1.3393665158371,19.2496028179816,1.25313628293263,7.02956861562287,10.4458960495502,0,1,28281,45,602,60,0.0102522328456572
458500427,1.34166666666667,18.2477401752903,4.67059948058216,11.5785987549579,9.83259142403707,0,1,29454,0,501,0,0.00452227717420301
511049675,1.34453781512605,17.5300639567017,3.10297768314412,25.9159468155821,12.9410456498761,0,1,29293,0,668,0,0.0516094655316586
423209650,1.34538152610442,23.7750212917804,1.09472600568931,26.8139186122664,9.43194714064461,0,1,27690,0,704,0,0.00672185222173546
743832834,1.35521235521236,20.3123210733676,2.42014890898283,9.86215855679399,10.2997823561524,0,1,28389,5,597,53,0.00120488962995164
421709141,1.36820083682008,17.7534411324997,2.12520920433305,18.4701703829761,11.5695926684827,0,1,28050,0,726,0,0.00737089584346845
28121199,1.36888888888889,19.7169217322581,2.41959805366672,26.8299371756624,10.3904188613741,0,1,28067,0,616,0,0.0140222820913252
201794154,1.37065637065637,16.9418331217844,4.56346636497395,4.7641541359291,7.21105486446543,0,1,1075,25239,0,688,0.00521715978479604
389463547,1.37109375,18.0622791465508,2.3092844314286,2.44536880664833,7.096648887441,0,1,317,28841,0,572,0.00861260359048742
49022669,1.37269372693727,20.3592809175463,2.46742571812992,2.38587009788285,7.17492847610688,0,1,275,28047,0,675,0.00213444491996967
546604008,1.37719298245614,19.9937733175887,1.22659323851436,17.012209173867,12.5385699600533,0,1,28370,0,585,0,0.0100867461662388
105784154,1.38666666666667,18.9996416517924,1.78258959000601,19.4290859535444,14.6723523931215,0,1,28001,0,695,0,0.00272894989411834
598044067,1.38695652173913,23.1990002380208,2.69317824185442,5.63930222565113,10.2089710678327,0,1,22011,4489,550,19,0.000913657122979261
112208756,1.39013452914798,20.0079096062237,2.54676123734423,27.8374923887493,8.8213550317673,0,1,28679,0,595,0,0.0252326088306681
211426519,1.392,19.7549369701512,2.40926064220142,11.0324651951244,11.5806724184212,0,1,29292,2,516,97,0.00158687418988508
824155465,1.39830508474576,18.736426462412,3.59156919676661,6.83905126988387,10.5120640203957,0,1,20711,5231,694,0,0.0033160628284692
831557155,1.40298507462687,18.2568297624822,1.65606784087456,6.42991554877438,9.14240193175081,0,1,28035,71,643,15,0.00367614920800552
111562930,1.40425531914894,22.1877132277249,1.01058605018934,14.0221418383864,10.3306657944308,0,1,26974,0,738,0,0.0457118540556983
608655025,1.40514469453376,25.3151683268138,4.02029755177843,3.71133094699915,7.04113311028102,0,1,197,25729,0,860,0.0184397305543234
539230516,1.40756302521008,18.0600507534197,1.45384095018159,24.2738707164225,11.8717106368713,0,1,29436,0,621,0,0.0519604020947784
981252939,1.40909090909091,22.7125143746331,4.4277597268031,13.8943122530258,10.5108462200007,0,1,29177,0,709,0,0.0137282910415613
593767615,1.41198501872659,21.5855723593254,2.45539262777607,23.8720466445569,11.839434690922,0,1,29388,0,825,0,0.00600219101319009
15063820,1.41634241245136,19.7828356109664,3.02666354083607,3.14093005773742,6.96585070382103,0,1,372,26847,0,778,0.00602976977972627
271830763,1.41702127659574,23.5460310583965,3.91317898795592,11.0177515783039,12.0624782424694,0,1,29392,20,502,72,0.00332106681110334
789403447,1.4192439862543,22.1770167308365,3.81524837303256,4.10376947546165,6.83069890729275,0,1,1482,25101,0,852,0.0059454770652977
130758641,1.41991341991342,18.8368708622347,3.83320504828016,1.13753228416459,4.59184075560989,0,1,52,27616,0,674,0.017930667152085
682146506,1.42424242424242,18.3393323819615,1.34093217964046,1.37167301472607,11.7888664972843,0,1,8239,20415,426,136,0.00392947209685076
555109144,1.43006993006993,20.019946716327,2.47928835032284,4.64309746474657,9.45412783362111,0,1,3135,23234,1,775,0.00274692652788373
84048636,1.44700460829493,20.0959089174217,4.61073874218501,27.4009881822064,9.80245294570049,0,1,28197,0,651,0,0.00522423875454325
898690278,1.45525291828794,21.3828675419988,3.07302692118843,2.32656180719811,7.10762668052135,0,1,860,26392,0,739,0.0475766675217601
771845523,1.46428571428571,20.9986839867206,3.34976691255819,11.1374345298325,9.51574109969642,0,1,28312,0,588,0,0.00876580222389869
949351028,1.46835443037975,20.5080709800972,2.31679966598943,23.7744979149428,11.7960529984243,0,1,28593,0,501,0,0.0107811871807568
794425949,1.46913580246914,21.0870512265839,3.67366156880268,8.5724390137479,9.48631626468564,0,1,27601,47,571,164,0.00299025990437633
894342380,1.47368421052632,20.3164268597932,1.17516782923752,18.6361439316925,10.3981991376214,0,1,29258,0,586,0,0.00670022911552253
524583793,1.47391304347826,20.3150031909919,3.05289474742771,29.534711431882,15.6092108792528,0,1,28210,0,604,0,0.0117859343077896
22036741,1.476,20.079171761818,4.52794889632001,21.1875602029662,11.5812503461937,0,1,27221,0,611,0,0.0443538484154818
171535516,1.47916666666667,19.2243045117954,3.19204103199833,10.7277501146075,10.4140131377976,0,1,27992,0,555,0,0.00321277668271345
680548185,1.48,19.0553146839348,4.81830144917109,26.2845854794661,9.82038329882353,0,1,27836,0,531,0,0.0094268002430087
371616189,1.48039215686275,21.8701401576033,4.0500232045972,11.5230048850232,10.4443517814024,0,1,29399,0,507,0,0.00312574380536267
