sim_id,statistic,observed,expected,variance,p_value,tumour
29,480.480623313941,0.850718210022388,-6.25003906274414e-06,3.13491726143498e-06,0,T1
30,533.281812137723,0.944208809655761,-6.25003906274414e-06,3.13493327523361e-06,0,T1
31,548.242442316917,0.970697245888235,-6.25003906274414e-06,3.13493023460986e-06,0,T1
32,532.382945354878,0.942616843508389,-6.25003906274414e-06,3.13493024386363e-06,0,T1
33,482.637560846866,0.854538207965797,-6.25003906274414e-06,3.13492452205684e-06,0,T1
34,482.70106802827,0.854648111441112,-6.25003906274414e-06,3.13490588435706e-06,0,T1
35,481.306737843888,0.852181679731641,-6.25003906274414e-06,3.13492297299863e-06,0,T1
36,538.162780192286,0.952851086018472,-6.25003906274414e-06,3.13493432720091e-06,0,T1
37,528.969588787968,0.936573974102183,-6.25003906274414e-06,3.13493512418183e-06,0,T1
38,534.514656445851,0.946391612586379,-6.25003906274414e-06,3.13493301360926e-06,0,T1
39,419.625108804286,0.742971419590435,-6.25003906274414e-06,3.13493534630594e-06,0,T1
40,519.59715215234,0.91997783892924,-6.25003906274414e-06,3.13492466256748e-06,0,T1
41,532.103198293424,0.942121368081805,-6.25003906274414e-06,3.13492916099805e-06,0,T1
42,516.914659754351,0.915228828166687,-6.25003906274414e-06,3.13492832592803e-06,0,T1
43,522.580364041035,0.925259368970709,-6.25003906274414e-06,3.13492153911667e-06,0,T1
44,509.437271309604,0.901989221665973,-6.25003906274414e-06,3.13492592570318e-06,0,T1
45,482.196501622065,0.853756259364598,-6.25003906274414e-06,3.13491701985871e-06,0,T1
46,545.108487162634,0.965148924960157,-6.25003906274414e-06,3.13493398141655e-06,0,T1
47,469.931387517214,0.83204037183021,-6.25003906274414e-06,3.13491967021496e-06,0,T1
48,534.226257472265,0.945880514280964,-6.25003906274414e-06,3.13492992124184e-06,0,T1
49,543.481917316789,0.962268527553035,-6.25003906274414e-06,3.13493115132462e-06,0,T1
50,547.052565783007,0.968590279697465,-6.25003906274414e-06,3.13492892427152e-06,0,T1
51,500.77587881962,0.886653385087043,-6.25003906274414e-06,3.13492439972964e-06,0,T1
52,519.678725766607,0.920121677010196,-6.25003906274414e-06,3.13492061592005e-06,0,T1
53,547.265694366507,0.968968502978039,-6.25003906274414e-06,3.13493451200355e-06,0,T1
54,491.697743445474,0.870579314261973,-6.25003906274414e-06,3.13492021840127e-06,0,T1
55,522.74649649908,0.925554565372101,-6.25003906274414e-06,3.13492863225653e-06,0,T1
56,422.225476925733,0.747573764794189,-6.25003906274414e-06,3.1349202396675e-06,0,T1
57,450.261972577602,0.797215050987481,-6.25003906274414e-06,3.13492567682729e-06,0,T1
58,484.752729285664,0.85828241574696,-6.25003906274414e-06,3.13491831406195e-06,0,T1
59,476.693616436911,0.844013381456002,-6.25003906274414e-06,3.13491972233722e-06,0,T1
60,545.302771567769,0.965493161431813,-6.25003906274414e-06,3.13493554945323e-06,0,T1
61,499.553629122138,0.884489607725809,-6.25003906274414e-06,3.13492655078054e-06,0,T1
62,530.43081853303,0.939160400068291,-6.25003906274414e-06,3.13492984615991e-06,0,T1
63,538.004018535481,0.952570003003719,-6.25003906274414e-06,3.13493443474007e-06,0,T1
64,442.461884755734,0.783407084967501,-6.25003906274414e-06,3.13494690242518e-06,0,T1
65,490.186737851051,0.867903760315301,-6.25003906274414e-06,3.13491868778046e-06,0,T1
66,527.504419613128,0.933978624313847,-6.25003906274414e-06,3.13492734937162e-06,0,T1
67,495.723620393163,0.877706478325263,-6.25003906274414e-06,3.1349135374602e-06,0,T1
68,436.666981957833,0.773145588567149,-6.25003906274414e-06,3.13493742840895e-06,0,T1
69,469.134805600757,0.830630536290854,-6.25003906274414e-06,3.13492396404699e-06,0,T1
70,516.731751368395,0.914904412872936,-6.25003906274414e-06,3.1349244699981e-06,0,T1
71,521.765622211497,0.92381888641933,-6.25003906274414e-06,3.13493562641704e-06,0,T1
72,422.501423035819,0.748062703148731,-6.25003906274414e-06,3.13492322583012e-06,0,T1
73,530.452521351987,0.939199117312728,-6.25003906274414e-06,3.1349317875394e-06,0,T1
74,544.352610343182,0.963811025971873,-6.25003906274414e-06,3.13493682561975e-06,0,T1
75,436.780114305943,0.773343490095083,-6.25003906274414e-06,3.13491790719651e-06,0,T1
76,480.33480356911,0.850459684765118,-6.25003906274414e-06,3.13491474582931e-06,0,T1
77,544.451070793356,0.963983266019756,-6.25003906274414e-06,3.13492322176764e-06,0,T1
78,516.609883722732,0.914687784473992,-6.25003906274414e-06,3.13491862315958e-06,0,T1
79,443.571722746692,0.785368960938525,-6.25003906274414e-06,3.13492152443623e-06,0,T1
80,514.665226848743,0.911245270703705,-6.25003906274414e-06,3.13492301032086e-06,0,T1
81,517.24967232856,0.915819567488983,-6.25003906274414e-06,3.13491172512829e-06,0,T1
82,504.812409837858,0.893799964288268,-6.25003906274414e-06,3.13492167325433e-06,0,T1
83,541.706786033617,0.959125771038781,-6.25003906274414e-06,3.13493274774176e-06,0,T1
84,536.636344096989,0.950144463068554,-6.25003906274414e-06,3.13490823559337e-06,0,T1
85,543.122889864766,0.961631972329507,-6.25003906274414e-06,3.13492547460005e-06,0,T1
86,510.839288758895,0.904471545700315,-6.25003906274414e-06,3.13492558541512e-06,0,T1
87,503.463977317901,0.89141255107156,-6.25003906274414e-06,3.13492225212536e-06,0,T1
88,451.845254695633,0.800021390150148,-6.25003906274414e-06,3.13494937591763e-06,0,T1
89,519.008818616512,0.918937645542523,-6.25003906274414e-06,3.13493485194464e-06,0,T1
90,528.830761831432,0.936326090045626,-6.25003906274414e-06,3.13492119247463e-06,0,T1
91,422.323198061317,0.74774700512701,-6.25003906274414e-06,3.13492206894807e-06,0,T1
92,539.874170889816,0.95588127327225,-6.25003906274414e-06,3.13493460528581e-06,0,T1
93,540.716833311576,0.957371276805408,-6.25003906274414e-06,3.13492155189994e-06,0,T1
94,512.164365501731,0.906816490669564,-6.25003906274414e-06,3.13491729578024e-06,0,T1
95,504.153108878052,0.892632490690044,-6.25003906274414e-06,3.13492072897552e-06,0,T1
96,475.795547063555,0.842423232776353,-6.25003906274414e-06,3.13491932353362e-06,0,T1
97,522.453352364341,0.925035647012152,-6.25003906274414e-06,3.13492940982283e-06,0,T1
98,529.516193300282,0.937540863703959,-6.25003906274414e-06,3.13492900795671e-06,0,T1
99,426.195468902544,0.754603268865808,-6.25003906274414e-06,3.13492317270115e-06,0,T1
100,521.66645146588,0.923641333312219,-6.25003906274414e-06,3.13492229538857e-06,0,T1
101,535.878257073981,0.948809178938067,-6.25003906274414e-06,3.13495422739423e-06,0,T2
102,532.925951360102,0.943582449660062,-6.25003906274414e-06,3.13495798001175e-06,0,T2
103,541.17302630614,0.958184933397989,-6.25003906274414e-06,3.13496038429586e-06,0,T2
104,507.15995771391,0.897960923272434,-6.25003906274414e-06,3.13495280592507e-06,0,T2
105,499.447605452728,0.884302299227734,-6.25003906274414e-06,3.13492948667725e-06,0,T2
106,537.32793464221,0.951376982010637,-6.25003906274414e-06,3.13496103309067e-06,0,T2
107,539.803029706389,0.955759081188599,-6.25003906274414e-06,3.13495932824714e-06,0,T2
108,532.034855576219,0.942003992567202,-6.25003906274414e-06,3.13495332354579e-06,0,T2
109,498.896407688384,0.883326658848304,-6.25003906274414e-06,3.13493158493877e-06,0,T2
110,497.681011260354,0.881173163673738,-6.25003906274414e-06,3.13492058398096e-06,0,T2
111,525.57730148753,0.930569475784865,-6.25003906274414e-06,3.13494725256795e-06,0,T2
112,529.662630272706,0.937804047105585,-6.25003906274414e-06,3.13495512248916e-06,0,T2
113,520.528490897846,0.921630516093446,-6.25003906274414e-06,3.13494966357472e-06,0,T2
114,499.905379038512,0.885112195914331,-6.25003906274414e-06,3.13492505969164e-06,0,T2
115,530.189147719465,0.938734231024246,-6.25003906274414e-06,3.13494137983341e-06,0,T2
116,529.969278074899,0.938343987007487,-6.25003906274414e-06,3.13493504564079e-06,0,T2
117,523.502935005293,0.926898340706964,-6.25003906274414e-06,3.13495870494041e-06,0,T2
118,497.39782847006,0.880674390988695,-6.25003906274414e-06,3.13493925421091e-06,0,T2
119,510.91068414266,0.904601660022836,-6.25003906274414e-06,3.13495125560968e-06,0,T2
120,548.703666675964,0.971517018606462,-6.25003906274414e-06,3.13495050641163e-06,0,T2
